d,Passing
8.58642455701673, 94.8889022798881
6.746777216330327, 94.57902192700149
5.520908456615046, 93.89731288457277
4.411743243839089, 90.7341019446518
3.4031876871288427, 88.98220557253298
2.884637461295967, 85.74765374110767
1.9000198834837574, 80.23763762838558
1.5353483955028133, 77.14174451047963
1.2331747666369033, 74.77988609129132
1.0604462515627315, 69.99055353685662
0.7689039937544104, 64.67279448126445
0.6913185947414061, 61.19764163360324
0.49319484654899204, 54.81682336401131
0.36974322904732526, 49.5109552629462
0.24752885439334635, 44.576951905521575
0.1737115140522864, 39.33038724943655
0.15077400251249, 37.813785469849634
0.06758394794701551, 30.235435870777124
0.05213385764846373, 28.50550476472209
0.033296384204510726, 24.884231127749274
0.0262972284807485, 22.92906359813429
0.01802694529511263, 19.505847141359652
0.014486236469935045, 17.860985218098847
0.011787604300570546, 15.297723719146916
0.008157499038349947, 12.642078677758633
0.006690601126763874, 10.904781442074139
0.005161184331171138, 9.450303647314144
0.004090314981001455, 8.578626485211572
0.002425708682271376, 4.860894268226275
0.0010415982705466661, 1.5741471959776163
