d,Passing
10.564638259979827, 99.43301292003969
8.150716758504117, 99.95718404201673
6.288135444714305, 99.95718404201673
4.851182788456633, 99.94553579486168
3.742473009360121, 99.42261269936554
2.6524609911461274, 94.85727636439809
2.050844876927558, 84.78552132637252
1.803650987986902, 70.35972019658189
1.8563282058078638, 77.67667573378272
1.5824340457978243, 65.19959108117166
1.4458003840857807, 60.08310776295858
1.3336216317976557, 55.23635994582988
1.2724645324974357, 49.78560798836534
1.1833590947967172, 45.71945081397894
1.0695707943201274, 40.14149352633287
1.0212651862299953, 34.93880012791516
0.9640721114639496, 30.184668926926378
0.8807711375039137, 26.385379566110487
0.6863248080595239, 20.237207726194512
0.5216281546955729, 15.299997900734354
0.3232767594562857, 10.06280731021694
0.2588761016631923, 9.130634540695894
0.22239978003640654, 5.335393936263571
0.1368618890818652, 0.5756335648534616
0.1053971224378991, 0.8559580906180742
