d,Passing
2.3351317740897986, 99.9222393005516
1.8015174998226704, 99.95718404201673
1.3898220839382138, 99.77081208753602
1.0554227625584984, 98.72428179313938
0.8005843873350138, 95.59993878903785
0.6092899596821125, 90.47615913823182
0.5156374805738592, 85.6886636894439
0.3940276239681723, 80.1122271451764
0.33562871933029753, 75.18499385558356
0.28564518668252503, 70.3816086294105
0.18240653398208603, 64.54566218374364
0.09907530481976323, 60.35624991410379
0.07619191857167464, 59.77073135711018
0.05877909791175601, 59.350978450701575
0.04534515542691208, 58.72172349903295
0.034980349998525596, 57.580860891961656
0.02398154029717196, 55.5741267570841
0.018499995912097902, 54.47854439966789
0.013248985681627839, 50.22023842695659
0.01036710867649595, 45.541575228011304
0.007071930896395213, 40.623468410758726
0.0050955582381488505, 35.36807668737907
0.0031493044497804216, 29.258536209373986
0.0024289234391452973, 24.84850983647381
0.0018295519434365472, 19.56356143262073
0.0014109867401093028, 14.424105182518531
0.0011311716085781827, 9.265651195984873
0.0009747459185086607, 8.984373761112323
